Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
42,"(25.628240742680898, 140.90126307984008)","(9.587090541920173, 148.39400395879446)","(84.46863657256849, 130.98699470167753)","(144.62668178913455, 84.90882276752504)","(187.5435931798929, 109.9435653250213)","(211.83359268785287, 103.50749687708954)","(227.13111630750444, 104.26536224058434)","(203.9693405583208, 60.89897351109667)","(208.40097814602683, 69.67683163340756)","(298.48507681027814, 74.05236841903759)","(349.35173704635974, 74.48701812976853)","(358.02798324698034, 60.234779247633135)","(350.76441170540915, 46.92556888682151)","(354.7411131921967, 39.32351292707529)","(377.5113303255396, 46.76081499661878)","(419.1538004366973, 40.161788955129786)","(428.1201219445034, 41.60861652879188)"
43,"(25.61533199739165, 140.8935502331829)","(9.583583401421823, 148.39276961616193)","(84.45922533455472, 130.98517934225723)","(144.59924524643668, 84.91464882573815)","(187.53768742236733, 109.9484985384317)","(211.8333788789387, 103.50355272740397)","(227.13808353212417, 104.23254316896333)","(203.90996902123416, 60.85731181499935)","(208.3984116423144, 69.68803620716177)","(298.49557700832423, 74.046846200548)","(349.34834170934477, 74.50035195948124)","(358.00311723630625, 60.17060895957135)","(350.77420557266674, 46.929332191453625)","(354.72198485101035, 39.33064480338401)","(377.5179397427197, 46.78366494893752)","(419.17397798635955, 40.213718233715596)","(428.12244176113694, 41.59673278877892)"
44,"(25.617824656760128, 140.89838306933498)","(9.582684151935558, 148.4014884210212)","(84.46580711670771, 130.98845847754316)","(144.5955625105115, 84.92845936582309)","(187.5364267607978, 109.95313724737132)","(211.82638457988728, 103.50975905975676)","(227.1242262596886, 104.27650244923089)","(204.02193913533526, 60.9095450228461)","(208.38732769525558, 69.69727150409454)","(298.48087687634325, 74.06204499417163)","(349.36743159386145, 74.5058390305169)","(358.0151287926208, 60.20726111917049)","(350.7712979004376, 46.93487336017471)","(354.71573528589647, 39.315640053889574)","(377.47915721182494, 46.788403278606374)","(419.1517468164376, 40.13167740303999)","(428.1163179308284, 41.64312424107304)"
45,"(25.611892103544715, 140.9068179976488)","(9.573574195533881, 148.40113306376844)","(84.46611034882062, 130.9963863543594)","(144.52915803051445, 84.88446006303005)","(187.5365918163246, 109.94989579159909)","(211.82306788641478, 103.51017222324016)","(227.1482203098943, 104.27604488192368)","(204.07567451365088, 60.85123421566213)","(208.35926117701587, 69.70062279513571)","(298.4745315718411, 74.0545121813519)","(349.3339377122484, 74.49906867096537)","(358.0100495525806, 60.20184083677662)","(350.76530873445347, 46.93437901476124)","(354.7268511928422, 39.329860028149305)","(377.49113326258146, 46.79208856601589)","(419.098072311663, 40.18543213239603)","(428.1019042122123, 41.63432439587843)"
46,"(25.623252145035345, 140.90966541660134)","(9.5849882945406, 148.40807116966732)","(84.47942313442522, 130.99257048662452)","(144.58473729375714, 84.89457750163125)","(187.52930315760977, 109.95415067359369)","(211.8280995801828, 103.5359015556065)","(227.06062609015507, 104.27049998835048)","(203.8751700548501, 60.876178266556195)","(208.4056526414253, 69.71114874241633)","(298.46897121670435, 74.07856003972613)","(349.355930854554, 74.47100626262294)","(358.01560531128666, 60.22757598701161)","(350.7644139692969, 46.93937866524605)","(354.72085394686223, 39.32397088267821)","(377.4939449146971, 46.77632545742528)","(419.122948611809, 40.196340435680305)","(428.1336080157953, 41.62593927589152)"
47,"(25.622751871009633, 140.91895923830094)","(9.589965136668873, 148.40711821303654)","(84.4885465980931, 130.989839153063)","(144.60446781977873, 84.90779697808827)","(187.53578506242673, 109.95445304342516)","(211.82754647592802, 103.51418275970457)","(227.14220533840114, 104.27837752832878)","(203.92551030638617, 60.916279747391386)","(208.3462904627319, 69.70565206494405)","(298.47853720094525, 74.07855239390535)","(349.33857318472525, 74.48864459961824)","(358.02641844217317, 60.2336806463268)","(350.7655076254212, 46.941305682819554)","(354.71756038496005, 39.336524423052346)","(377.4476876649588, 46.33969617798814)","(419.06843664701887, 40.21738075166625)","(428.12849844588857, 41.65977013820329)"
48,"(25.60605437879547, 140.91910377175057)","(9.571782837091002, 148.41928033924373)","(84.50589554271117, 130.98670596208484)","(144.4751723196526, 84.91032354775038)","(187.55001370487378, 109.9587185109249)","(211.82214648114203, 103.52679785567591)","(227.14283831929728, 104.27811055945584)","(203.99115575361927, 60.99366725486722)","(208.41536763465808, 69.7089439378031)","(298.4677662632629, 74.05768178892484)","(349.3735245816742, 74.47189943256622)","(358.0138748306989, 60.2151019021715)","(350.7595419197879, 46.943264403632085)","(354.71060833374116, 39.33274214688657)","(377.48543378942173, 46.787967768603515)","(419.1866884019988, 40.23731007553997)","(428.08144440496943, 41.67311376405438)"
49,"(25.614037769936946, 140.9263327057947)","(9.573021516914244, 148.40990135525595)","(84.52040904243655, 130.9894650056292)","(144.62186330204645, 84.9348022424839)","(187.53402502287526, 109.96915645915688)","(211.82101848260083, 103.52359689915481)","(227.14943284183067, 104.28359793774462)","(203.9464830168511, 60.903379208078235)","(208.39454778293754, 69.71898573642503)","(298.46102241524216, 74.07864814252524)","(349.3688204287628, 74.51124703405887)","(358.0161330588147, 60.227607216535546)","(350.7630607831887, 46.94746357354965)","(354.72068497331526, 39.33203529091799)","(377.4795023136586, 46.805329640281144)","(419.170704825246, 40.2022048415981)","(428.0910147149176, 41.62351243625221)"
50,"(25.613063706863958, 140.92429929758788)","(9.572193949686556, 148.43649864017758)","(84.53371244686618, 130.98954597243)","(144.58784849663942, 84.91747106903004)","(187.52977076505627, 109.9748551095388)","(211.81857694238366, 103.53233754907261)","(227.12487098983593, 104.29490457895454)","(203.95871825133494, 60.92182510358141)","(208.38644181475948, 69.71024239004767)","(298.4524476295185, 74.07586783253127)","(349.3724227687973, 74.49514519005909)","(358.3619154554785, 60.73015205957256)","(350.7555694839252, 46.95089930888052)","(354.71418526486565, 39.340215581772675)","(377.47293273366836, 46.775360301362014)","(419.0969330590339, 40.20634060237455)","(428.10802716470624, 41.65053128733272)"
51,"(25.60876920480132, 140.93633936142749)","(9.566206994732429, 148.42787135847806)","(84.52957983648375, 130.98215453750356)","(144.5989892231951, 84.94272411756725)","(187.51910435548763, 109.97614996408974)","(211.8103644489867, 103.53123161434966)","(227.20467674568584, 104.34116620922286)","(203.9274540417985, 60.9340121608143)","(208.3630971810904, 69.73406118479419)","(298.4616375450916, 74.06456693268095)","(349.31833179208286, 74.495270614082)","(358.00043448068476, 60.240979775579525)","(350.7546487580749, 46.951320653614445)","(354.7115928079113, 39.352946741261206)","(377.4887913727943, 46.805381757970856)","(419.09092310057343, 40.17186391816283)","(428.1048415619317, 41.68715442219795)"
52,"(25.596998763367782, 140.92983011463843)","(9.57204536764778, 148.43156226352346)","(84.53531159299641, 130.9750905570762)","(144.6070292297458, 84.92422133463583)","(187.52617044572702, 109.96645001552487)","(211.8183339267882, 103.53671291787174)","(227.15036932152046, 104.26747358544759)","(203.95163128574563, 60.8859633106379)","(208.37864069986568, 69.72693817877439)","(298.4593474096105, 74.08408041551576)","(349.36578752691213, 74.50945323873205)","(358.0109313950192, 60.226178972805435)","(350.7557069980784, 46.95426809863526)","(354.7127901519549, 39.34059951855133)","(377.4652653779669, 46.82214401542895)","(419.1206267393927, 40.191045138242515)","(428.1042818757613, 41.652000391763316)"
53,"(25.606669012683447, 140.94237181265657)","(9.571977446461288, 148.43021613713228)","(84.53784290241882, 130.97685977021683)","(144.59147600000256, 84.9355333271177)","(187.50791084272714, 109.98124932811032)","(211.8139282075125, 103.53619414569758)","(227.11925951542975, 104.27333238059472)","(203.9169207671068, 60.95446964980053)","(208.37725185295986, 69.74065000177455)","(298.4652553549502, 74.09172914140535)","(349.3069111675522, 74.60024470448553)","(358.0034430868764, 60.232329167187395)","(350.75143646035497, 46.959263512820584)","(354.71583467772876, 39.35730541642625)","(377.4599474031215, 46.77286749117008)","(419.1034488724981, 40.188607623046465)","(428.0957241277846, 41.66788203983937)"
54,"(25.606809812565725, 140.94102020719487)","(9.575540666920498, 148.43626896206857)","(84.5258786467853, 130.9808420946984)","(144.37031312720552, 84.8787058424269)","(187.5188248051793, 109.98324376730464)","(211.81330754228102, 103.54149964980975)","(227.12734934144643, 104.27496709698768)","(203.90831067790998, 60.96446162653131)","(208.38392330251878, 69.74055477392851)","(298.44829758490476, 74.10156305303273)","(349.3720933669457, 74.50494500983861)","(357.9985963002811, 60.234501992802635)","(350.75131572092846, 46.96241713598588)","(354.7025954592042, 39.3445199071636)","(377.46201737362924, 46.80212138500689)","(419.0852434747347, 40.212140441661425)","(428.0811765434041, 41.65412393572292)"
55,"(25.416145732831982, 141.05609715855618)","(9.564541288150878, 148.44594668356663)","(84.5229203441584, 130.98539961333378)","(144.58117723941544, 84.95038529242956)","(187.51316339405201, 109.98955014497143)","(211.7981759200172, 103.54389786051705)","(227.1574541949019, 104.30509525465067)","(203.9591203397561, 60.94259183259521)","(208.27846359420838, 69.7201547301413)","(298.4623293875659, 74.09140087469943)","(349.34311036599144, 74.51560566682693)","(357.99387967462593, 60.24508104666832)","(350.7450278738832, 46.96408960065315)","(354.6965404400723, 39.365881933194224)","(377.4509668969997, 46.82940941307006)","(419.1002537153123, 40.378473602978666)","(428.162840738566, 41.627399206856076)"
56,"(25.60453564614664, 140.95113562535522)","(9.565334934987037, 148.44640690637482)","(84.50822355720348, 130.99142993077487)","(144.58261144220322, 84.97024467343978)","(187.51948598749763, 109.99190052817416)","(211.80544620532393, 103.55120411991695)","(227.12299418474132, 104.29994080644907)","(203.8639377705111, 60.932498891775886)","(208.37785378721432, 69.74983765417744)","(298.4526807495163, 74.09079507701053)","(349.375182854329, 74.52447172239317)","(358.03111420880566, 60.244043595963916)","(350.73816454701716, 46.96804830970607)","(354.7141776495053, 39.38382116845294)","(377.47757640643516, 46.82349366883613)","(419.1045667579218, 40.244400511925235)","(428.0827750680647, 41.68195520639366)"
57,"(25.595407838654765, 140.95940570192155)","(9.570356884032975, 148.4528632419312)","(84.47403809387517, 131.0010217590265)","(144.56894978534973, 84.96819845339543)","(187.52010117915876, 109.99721980048544)","(211.81533262548217, 103.55730668700059)","(227.15853034587965, 104.31133326265348)","(203.9665119189123, 61.072266903321115)","(208.4000843531732, 69.74746019527873)","(298.45570379029823, 74.10054608406917)","(349.33093404931253, 74.52100715608893)","(357.9876474704875, 60.251234985137536)","(350.743231969865, 46.97274259879392)","(354.7095396773717, 39.38431340921435)","(377.4745394803623, 46.83981932597369)","(419.1351202073712, 40.14987348057798)","(428.0826155835886, 41.68312164050762)"
58,"(25.605505306878197, 140.96278156029996)","(9.56388623339597, 148.45354674321786)","(84.44379720820747, 131.00849843527556)","(144.5893220902767, 84.94000699353583)","(187.51854160603153, 110.00525721684141)","(211.80655356584532, 103.56401248033751)","(227.06651229143603, 104.27604942016083)","(204.0362261217739, 61.01524313008491)","(208.34832933617426, 69.7692731533754)","(298.436993289463, 74.1015376684158)","(349.1545986102836, 74.42896962354936)","(357.98835865273435, 60.2485746434011)","(350.7476230481877, 46.976500644719636)","(354.7042892316424, 39.36362371422272)","(377.47006150500243, 46.83019295417957)","(419.07050018473007, 40.21449380658236)","(428.084983296984, 41.69373033099162)"
59,"(25.602998386129244, 140.96742902787318)","(9.560079891167094, 148.46171849422558)","(84.4027182905279, 131.0259063093283)","(144.55430477383834, 84.94602227860818)","(187.51841546858583, 109.99557268328115)","(211.80403169929411, 103.5676315440726)","(227.13397217607175, 104.30018056256475)","(203.9342201841382, 60.96283726390026)","(208.35605133857655, 69.76029112859678)","(298.4530398401838, 74.10901567594091)","(349.34504197571255, 74.52035635935077)","(357.9960961765506, 60.26708391367164)","(350.7380264947225, 46.97792639776013)","(354.70550657065814, 39.37835603440078)","(377.48184984192534, 46.82501823154098)","(419.1361916351914, 40.26207818235654)","(428.11990572945786, 41.70958657463079)"
60,"(25.603715426992995, 140.97933713582955)","(9.558843614305001, 148.47545997472253)","(84.35048777339217, 131.03563571054568)","(144.47239759491856, 84.949406401804)","(187.515695159208, 110.01445736248228)","(211.8082754472856, 103.5719532114)","(227.1161029738751, 104.32259566978239)","(204.07893738224342, 61.01576834132662)","(208.3623193427616, 69.77731832344264)","(298.4571565554881, 74.11296386525011)","(349.15486186219493, 74.52347907050788)","(358.0053614784217, 60.265491354395905)","(350.73974679673637, 46.984971997672694)","(354.71218971919126, 39.389286379713646)","(377.4778083758557, 46.850257651247)","(419.13977327508655, 40.26412614300206)","(428.1796112800043, 41.50683900335384)"
61,"(25.595167716155096, 140.9827348542125)","(9.56391549958024, 148.4758031216192)","(84.33197320823743, 131.04618726834283)","(144.53853435290247, 85.01651838569536)","(187.50868228078696, 110.01948450065346)","(211.799802271343, 103.56676122556134)","(227.1198623738918, 104.33107652517637)","(203.9270523417688, 60.955994969715356)","(208.35679417707354, 69.76743246295996)","(298.44359294688854, 74.11825995793937)","(349.2607283771796, 74.48432886462649)","(358.0695090892295, 60.354312469112784)","(350.7402113213453, 46.98933401561461)","(354.6951417574539, 39.38096204707531)","(377.4807390728739, 46.8509327433793)","(419.142361791464, 40.302108986019235)","(428.083196093299, 41.66961802202012)"
62,"(25.596106277420677, 140.98571307493592)","(9.561214951249637, 148.47979716154336)","(84.29711060297292, 131.04654359509263)","(144.5310294125596, 84.94896695976112)","(187.51285102301543, 110.02198371933207)","(211.80116468291206, 103.57713356113916)","(227.09509340739962, 104.35155102922958)","(203.92767027240038, 60.92257392893042)","(208.36806999046223, 69.76854382735382)","(298.44884709143537, 74.12153793939595)","(349.2778440549701, 74.51330646472435)","(357.99762340144355, 60.27409403353131)","(350.73577223570123, 46.98997922972404)","(354.6951328425656, 39.38549250875013)","(377.4488728819104, 46.83953255788963)","(419.0415900633046, 40.23740395889666)","(428.07950641282815, 41.67942192550605)"
63,"(25.60371170307879, 140.98962802304163)","(9.559913135432863, 148.484017669767)","(84.2758093897509, 131.0418351630814)","(144.5720703671307, 84.97403468463267)","(187.51322985182446, 110.0239081513701)","(211.80446737351554, 103.58771081272415)","(227.06969282760144, 104.29614075780172)","(203.90534662748146, 60.93911266166672)","(208.37271545772117, 69.76945541261156)","(298.44409677382026, 74.12230812011921)","(349.3419033218085, 74.52024601089194)","(357.99816859876705, 60.288678111628755)","(350.7314477502396, 46.99658431021465)","(354.7019387917285, 39.39118615355158)","(377.4365846455628, 46.844771488475274)","(419.1120402478937, 40.28348703578783)","(428.0868286124987, 41.68592115390277)"
